Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,150.0,150.0,150.0,200.0,200.0,200.0,350.0,350.0,350.0,500.0,500.0,500.0,500.0,500.0
Benin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Burkina Faso,100.0,100.0,100.0,100.0,100.0,100.0,100.0,150.0,200.0,200.0,200.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,350.0,350.0,350.0
Burundi,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,150.0,200.0,200.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,350.0,350.0,200.0,200.0,200.0,200.0
Cameroon,100.0,100.0,100.0,100.0,100.0,100.0,150.0,150.0,150.0,150.0,150.0,300.0,300.0,350.0,350.0,350.0,500.0,500.0,500.0,500.0,500.0,510.0,520.0,550.0,580.0,595.0,595.0,575.0,545.0,505.0
Central African Republic,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Chad,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,150.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,350.0,350.0,350.0,350.0,200.0,500.0,500.0,500.0
Congo,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,150.0,150.0,150.0,150.0,100.0,150.0,150.0,100.0,150.0,200.0,200.0,100.0,100.0,150.0,150.0
C̫te d'Ivoire,100.0,100.0,100.0,100.0,150.0,150.0,150.0,150.0,350.0,350.0,500.0,500.0,500.0,555.0,660.0,745.0,790.0,845.0,905.0,890.0,875.0,885.0,870.0,870.0,840.0,785.0,745.0,750.0,635.0,500.0
Democratic Republic of the Congo,150.0,150.0,150.0,350.0,350.0,350.0,500.0,500.0,500.0,515.0,570.0,665.0,765.0,865.0,955.0,1045.0,1050.0,1100.0,1150.0,1250.0,1150.0,1250.0,1200.0,1200.0,1150.0,1100.0,985.0,910.0,795.0,765.0
Djibouti,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Equatorial Guinea,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Eritrea,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Eswatini,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,150.0,150.0,150.0,150.0,200.0,200.0,150.0,200.0,200.0,200.0,200.0,200.0,150.0,100.0
Ethiopia,150.0,150.0,300.0,300.0,300.0,300.0,350.0,350.0,500.0,500.0,585.0,755.0,960.0,1200.0,1400.0,1600.0,1700.0,1700.0,1600.0,1550.0,1450.0,1350.0,1250.0,1100.0,1000.0,915.0,820.0,745.0,670.0,600.0
Gabon,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Gambia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Ghana,100.0,100.0,100.0,100.0,100.0,100.0,150.0,150.0,200.0,200.0,200.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,505.0,505.0,500.0
Guinea,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,150.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Guinea-Bissau,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Kenya,300.0,300.0,300.0,300.0,390.0,415.0,430.0,595.0,625.0,685.0,865.0,1150.0,1450.0,1800.0,2200.0,2500.0,2800.0,2950.0,2950.0,2750.0,2700.0,2600.0,2400.0,2200.0,2000.0,1850.0,1700.0,1550.0,1350.0,1150.0
Lesotho,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,150.0,150.0,150.0,150.0,150.0,200.0,200.0,350.0,350.0,350.0,350.0,500.0,500.0,500.0,500.0,500.0,500.0,200.0,200.0,200.0
Liberia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,150.0,150.0,150.0,100.0,100.0,100.0
Madagascar,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Malawi,150.0,150.0,300.0,300.0,300.0,350.0,350.0,500.0,500.0,535.0,595.0,730.0,890.0,1040.0,1200.0,1400.0,1450.0,1500.0,1450.0,1350.0,1250.0,1200.0,1050.0,880.0,750.0,705.0,685.0,675.0,635.0,595.0
Mali,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,150.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,350.0,500.0,500.0,500.0,350.0,200.0,200.0
Mauritania,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Mozambique,100.0,100.0,100.0,100.0,150.0,150.0,150.0,300.0,300.0,300.0,350.0,350.0,500.0,520.0,565.0,620.0,735.0,850.0,955.0,1045.0,1150.0,1250.0,1300.0,1400.0,1500.0,1500.0,1550.0,1550.0,1550.0,1550.0
Namibia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,150.0,150.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Niger,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Nigeria,100.0,100.0,150.0,150.0,200.0,200.0,350.0,350.0,500.0,500.0,500.0,540.0,660.0,785.0,900.0,1000.0,1100.0,1250.0,1400.0,1500.0,1600.0,1750.0,1750.0,1700.0,1650.0,1600.0,1700.0,1650.0,1600.0,1600.0
Rwanda,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,150.0,150.0,200.0,200.0,350.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,350.0,350.0,200.0,200.0
Senegal,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Sierra Leone,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,150.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Somalia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
South Africa,100.0,150.0,300.0,300.0,450.0,600.0,950.0,1100.0,1250.0,1400.0,1510.0,1655.0,1810.0,1980.0,2100.0,2250.0,2400.0,2550.0,2500.0,2350.0,2050.0,1850.0,1700.0,1545.0,1440.0,1400.0,1450.0,1400.0,1450.0,1450.0
South Sudan,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,150.0,200.0,200.0,200.0,200.0,200.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
Sudan,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Togo,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,150.0,150.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,500.0,200.0,200.0,200.0,200.0,200.0,200.0
Uganda,300.0,300.0,350.0,350.0,500.0,555.0,695.0,905.0,1100.0,1400.0,1650.0,1900.0,2050.0,2150.0,2200.0,2100.0,2000.0,2100.0,2100.0,2050.0,2000.0,1900.0,1800.0,1700.0,1650.0,1550.0,1450.0,1350.0,1250.0,1150.0
United Republic of Tanzania,150.0,150.0,300.0,300.0,350.0,350.0,350.0,500.0,500.0,535.0,625.0,765.0,915.0,1050.0,1200.0,1350.0,1400.0,1400.0,1350.0,1450.0,1500.0,1550.0,1550.0,1450.0,1350.0,1250.0,1250.0,1250.0,1200.0,1150.0
Zambia,150.0,150.0,150.0,300.0,300.0,300.0,350.0,350.0,350.0,500.0,500.0,515.0,575.0,685.0,760.0,870.0,925.0,930.0,915.0,890.0,860.0,830.0,815.0,795.0,755.0,720.0,680.0,615.0,580.0,550.0
Zimbabwe,300.0,350.0,350.0,350.0,365.0,375.0,535.0,550.0,575.0,620.0,745.0,905.0,1100.0,1400.0,1600.0,1800.0,1950.0,1950.0,1900.0,1850.0,1750.0,1600.0,1400.0,1300.0,1200.0,1200.0,1050.0,890.0,785.0,710.0
